Keyword (Hebrew),Keyword (English),Category,Volume,CPC,Difficulty,Intent,Status,Rationale
מרכז הערכה,Assessment Center,Already Included,210,$0.00,7,B2B Commercial,VALID - KEEP,Verified - stable volume 140-260/month
מבחן אישיות,Personality Test (singular),Already Included,110,$0.09,6,B2B + B2C,VALID - KEEP,Verified - use singular form over plural
מבחני אישיות,Personality Tests (plural),Already Included,30,$0.09,6,B2B + B2C,VALID - KEEP,Lower volume than singular but still valid
מבחני סינון עובדים,Employee Screening Tests,Client Requested,0,N/A,N/A,B2B Commercial,REJECTED,"0 volume - Israelis use 'מיון' (sorting) not 'סינון' (screening)"
מבחני התאמה לעובדים,Employee Suitability Tests,Client Requested,0,N/A,N/A,B2B Commercial,REJECTED,"0 volume - Non-standard form; use 'לתפקיד' not 'לעובדים'"
תהליך סינון לעבודה,Job Screening Process,Client Requested,0,N/A,N/A,B2B Commercial,REJECTED,"0 volume - 'סינון' refers to CV filtering (ATS), not assessment tests"
אירוח,Hospitality,Industry Term,Low,N/A,N/A,Ambiguous,REJECTED,Ambiguous in Hebrew - can mean event hosting; not industry-specific
תעשיית האירוח,Hospitality Industry,Industry Term,0,N/A,N/A,N/A,REJECTED,0 volume - Not natural Hebrew; translated from English
תעשיית המלונאות,Hotel Industry,Industry Term,0,N/A,N/A,N/A,REJECTED (for SEO),Industry jargon only - used by associations but not searched
ענף המלונאות,Hotel Sector,Industry Term,0,N/A,N/A,N/A,REJECTED (for SEO),Same as above - jargon not search term
מלונות ואירוח,Hotels and Hospitality,Industry Term,0,N/A,N/A,N/A,REJECTED,0 volume - not a natural search phrase
מלונאות,Hospitality (preferred),Industry Term,170,$0.00,11,B2B + B2C,ADDED - NEW,Primary industry term on job sites; use this instead of rejected terms
עבודה במלון,Work at Hotel,Industry Term,170,$0.19,5,B2C Job Seeker,ADDED - NEW,Natural job seeker search term; high relevance
דרושים מלונאות,Hospitality Jobs Wanted,Industry Term,110,$0.06,10,B2C Job Seeker,ADDED - NEW,Job search intent - relevant for hospitality content
תיירות ומלונאות,Tourism and Hospitality,Industry Term,140,$0.08,6,B2B + B2C,ADDED - NEW,Category term used by all major job sites
אבחון תעסוקתי,Occupational Assessment,General - High Value,480,$0.62,3,B2B Commercial,ADDED - NEW,Best opportunity! High volume low difficulty
גיוס עובדים,Employee Recruitment,General - High Value,480,$2.05,33,B2B Commercial,ADDED - NEW,High commercial value (CPC $2.05)
מבחני מיון לעבודה,Job Selection Tests,General - High Value,110,$0.43,5,B2B + B2C,ADDED - NEW,Correct Hebrew terminology (מיון not סינון)
מבחני התאמה,Suitability Tests (generic),General - High Value,110,$0.53,9,B2B + B2C,ADDED - NEW,Generic but searched; works for hospitality context
מיון עובדים,Employee Selection,General - High Value,90,$0.00,14,B2B Commercial,ADDED - NEW,Core industry term
תחלופת עובדים במלונות,Employee Turnover in Hotels,Hospitality Pain Point,~0,N/A,N/A,B2B Commercial,ADDED - NEW,Content gap opportunity - reframe from theft to turnover
בדיקות אמינות לעובדי מלון,Reliability Tests for Hotel Employees,Hospitality Specific,0,N/A,N/A,B2B Commercial,KEEP (from V2),Content gap - hospitality-specific long-tail
סינון עובדים למלונות,Hotel Employee Screening,Hospitality Specific,0,N/A,N/A,B2B Commercial,KEEP (from V2),Content gap - hospitality-specific long-tail
מבחן יושרה לעובדי מלון,Integrity Test for Hotel Employees,Hospitality Specific,0,N/A,N/A,B2B Commercial,KEEP (from V2),Content gap - hospitality-specific long-tail
